Original_Index,Supplier,Lock_Reason,Extracted,Status,Corrected_Requirement
568,Andip 92 - Andrey Pavlov - Andreana Pavlova ET,The company has temporarily ceased the activities of sorting and packing of eggs due to an influenza outbreak in the owned laying hens farm placed in the same plot and supplying the packing site. The company is currently implementing actions to correct this situation and be able to re-start operation.,,MISSING,
571,"MANUFACTURAS Y SERVICIOS AGRICOLAS, S.L S.L","During the IFS Food v.8 audit performed from 12/01/2026 to 14/01/2026 was detected 1 Major No-conformity. Requirement 4.3.2. Description: During the audit, various labels corresponding to products manufactured and marketed by the company were reviewed. Legal non-compliance was detected in the mandatory information provided to the consumer (Regulation 1169/2011 and Regulation 2023/2429), revealing deficiencies in the system for creating and validating labels prior to the start of customer orders ",4.3.2,OK,
572,Simmental Switzerland AG,"Elsa Group SA Molkerei Diemtigtal and Simmental Switzerland AG have merged. A new customer has been created in the database: Elsa Group SA, Standort Oey",,MISSING,
573,MAISON LECOUFFE SARL,"KO: Item 4.18.1
 Libellé : Lors de l’audit du stock emballage, il a été constaté que les actions correctives qui devait être mise en place suite à la déviation 4.14.5 identifiée lors de l’audit IFS Food v8 précédent, pour améliorer la gestion FIFO des lots emballages n’avaient pas été mise en place de façon complètes et efficaces (plusieurs référence emballage sans l’étiquetage de la date de réception nécessaire pour gérer le FIFO) et fichier d’enregistrement des n° lots de lots sortie du stock ","4.14.5, 4.18.1, 5.6.5",MULTIPLE,
575,Colusso Industriedienstleistungen GmbH,"Corrective measures were not implemented as soon as possible
 to prevent the recurrence of non-conformities. E.g.
 a) The internal audit was carried out in great detail on 17 December 2024 /
 25 March 2025. A total of 33 deviations were identified. 19 deviations
 have been addressed, while the remaining 14 deviations are still open.
 Furthermore, no root cause analyses, corrections, or corrective actions
 were performed for the identified deviations.
 b) On 22 February 2024, an inspection by the",,POTENTIAL_MISS,
576,Damak Food Sp.zo.o.,"Due to repeated withdrawals reported by the client, the certification body decided to conduct a special audit, which took place on October 18, 2025. As a result of the special audit, KO and MAJOR non-conformities were identified, and the certificate was suspended.",,MISSING,
577,Elsa Group SA Molkerei Diemtigtal .,"Elsa Group SA Molkerei Diemtigtal and Simmental Switzerland AG have merged. A new customer has been created in the database: Elsa Group SA, Standort Oey",,MISSING,
578,Dhagrameat BVBA,"Audit from 13 to 15 January 2026: major non-compliance with point 4.14.3.
 The high alarm for the freezing installation is set at -16 °C, which does not guarantee that the legal storage temperature for frozen products (< -18 °C) is maintained at all times. Rapid detection of temperature exceedances is therefore not sufficiently guaranteed. This indicates a process that is not under control and may have an impact on food safety.",4.14.3,OK,
579,De Jong's IJs B.V.,"As of today (16.01.2026) Certima BV withdraw the certificate number IFS - 01473 of client De Jong´s IJs B.V., Skipmakker 2, 8401 JG Gorredijk, Netherlands, COID: 72313.
 Reason: Company De Jong´s IJs B.V. had an IFS Integrity onsite check on 14.01.2026. During the onsite check a KO nonconformity was observed and raised by IFS IP auditor.
 
 KO on 4.18.1:The company has a process control sheet that is used for the processing and filling of the ice. This includes start up and end of production che",4.18.1,OK,
580,Embotelladora Metropolitana S.A. (Planta Santiago),"On Jan. 06, 2026, the Quality Manager (E.C.) informed the company has finished its activity and will open another facility in a new address. The last production was performed on Dec. 16, 2025.",,MISSING,
583,DYAD - Bâtiment A et D .,"Item : 5.5.1
 During the first day of the audit (visit to the packing room with manual filling), the absence of weight control for the finished product was noted: box of 6 milk chocolate marshmallow bears 69g LCDF brand.
 The company implemented a weight control with a scale under legal metrology for the products concerned on the 2nd day of the audit (control of 10 boxes / hour) and the controls dated 14/01/2026 checked are satisfactory (weight records and scale tickets were seen).",5.5.1,OK,
584,Tradicijski sirevi d.o.o.,Company did not pay the invoice of the audit since months even we have sent several reminders. That decision had to be made due to not paid invoice.,,MISSING,
585,ERIPAC SAS,"KO item 4.1.3
 Checks on a recipe for a fourth-range mesclun/rocket/chervil salad for a private label brand show that the recipe was not followed in three batches. There was a complete absence of rocket in the mixture in the following three batches:
 - 364Z5004D30 packaged on 30/12
 - 002Z5004102 packaged on 2/01/26
 - 009Z6004109 packaged on 9/01/26
  
 The site specified that, in the absence of rocket of the required quality , it was decided, in agreement with the customer, to pack the mixture",4.1.3,OK,
586,PEGRI - SCHLACHTHOF sa,"Unannounced audit from 13 to 15 January 2026: major non-compliance with point 4.9.4.1.
 Defects (traces of rust, peeling paint, etc.) on several components (suspension rails, refrigerator evaporators, ceiling beams). Risk of contamination of carcasses and
 naked quarters passing through these suspension rails.",4.9.4.1,OK,
588,CILER s.r.o.,"On 27 JAN 2026 an Integrity On-site check was carried out at the company CILER s.r.o. - COID 76923.
 In this Integrity On-site Check, two Major non-conformities were identified against the following IFS-Food v8 requirements:
 
 - 4.2.1.5_ Claim “country of origin of flour Slovakia” is used on packaging of product Zemiakové lokše 400g own brand Maťko a Kubko. Last production of this product was on 09 DEC 2025 for one retailer, flour from Hungary was used. As all these products are distributed by ","4.1.3, 4.2.1.5, 4.3.2",MULTIPLE,
590,KOYASAN FOODS PENINSULA S.L.U.,"During the audit performed on 26th January 2026 to 29th January 2026, it was detected a KO under the requirement 2.3.9.1.
 
 KO 2.3.9.1.
 During the site visit on the first day of the audit, on January 26, 2026, the following was observed:
 1. The passage of the metal detectors through the ""salmon poke"" dish (batch G026-1) was not recorded on the tablet designated for CCP control. The person in charge stated that ""it happened around 8:30 but it wasn't recorded,"" even though production started at",,POTENTIAL_MISS,
591,Companyia General Càrnia S.A.,"During the Integrity On-site check carried out on 14th of January 2026, the auditor raised a Major NC in the following requirement: 4.10.2 During the plant visit, the area designated for the cleaning and disinfection of knives was inspected.
 The company has established a work instruction for knife washing (I04PPR02), which specifies that knives must be washed at a temperature of 86 °C.
 In accordance with Regulation (EC) No 853/2004, Chapter III, tools used in cutting rooms must be cleaned and ",4.10.2,OK,
592,Morski Ribolov -Nesebar OOD,"During last audit on 12-14/01/2026 2 Majors raised. 2.3.8.1 Major: The company carries out cold smoking of fish,
 which includes two stages of product exposure at temperatures ≤35°C for approximately 12 hours each. This results in a prolonged period during which the product remains within a temperature range that may allow the growth of pathogenic microorganisms. The company has defined product moisture content (",2.3.8.1,OK,
594,Inclusief Groep B.V.,Customer closed the site,,MISSING,
597,Olea Nuts B.V.,"As of today (16.01.2026) Certima BV withdraw the certificate number IFS-01259 of client Olea Nuts BV, 
 Escudostraat 6g, 2988 CS Ridderkerk, Netherlands, COID: 83573.
 Reason: During the first day audit in period 15-16.01.2026, auditor raised Major and KO non-conformity.
 KO on 4.12.1:
 Deviation: During the demonstration of pistachio paste filling it was observed that the glass jars were picked op with fingers in the jar (no gloves were used) and there was no manually turn executed prior to fil","4.10.1, 4.12.1",MULTIPLE,
598,EXPLOTACIÓN AGRÍCOLA GUILLÉN SA,"During the audit carried out on 13th and 14th of January, the auditor raised a Major NC in the requirement 5.4.2: During the audit, it could not be documented that the final weight control scale had undergone official metrological verification in the last two years, as required by Order ICT/155/2020.",5.4.2,OK,
600,SICODIS SICA-SAS,"The complaint lodged by distributor S with the IFS services was investigated: following a shortage of customer brand labels at Sicoly, trays of cherries with labels that did not comply with the distributor's label design were placed on the market by Sicodis (a processing subsidiary of the Sicoly fruit cooperative, also responsible for marketing fresh fruit packaged by the Sicoly cooperative): labelling by Sicoly on 14 June with a label that had not been approved at the request of the sales depar","1.2.4, 4.1.3",MULTIPLE,
601,Next Food S.r.l.,"Following the certification inspection on January 14, 15, and 16, 2026, and following a preliminary technical review, the certificate is withdrawn.
 Details: § 5.4.2 Major Nonconformity
 
 The Ebro datalogger is used to check the sterilizer's 6 infrared probes in the third module, i.e. the hot air-only section (which coincides with the CCP). In practice, when the datalogger (positioned inside the tank) is used, the probes' proper functioning and measurement uncertainty are assessed by cross-chec",5.4.2,OK,
602,Grains Noirs NG srl,"The unannounced audit began on 29/01/26.
 The quality manager was injured and is unfit for work until 02/02/26.
 The management is facing personal health issues, which prevent them from being available.
 Given the size of the company, it was decided to cancel the audit.",,MISSING,
603,T.T.B. SAS,"Due to the result of the integrity programme, in which the last two reports were reviewed, and serious doubts were raised were raised about the maintenance of the certificate:
 
 2024: the correct control of PCC2 (2.3.9.1), non-conformities regarding cleanliness, accumulation of residues in certain equipment that may pose a direct risk of product contamination (4.10.2), and no Major or KO issues were raised during the audit.
 
 About the 2025 audit, one of the deviations explains that expired le","4.19.2, 4.2.1.5, 4.2.1.3, 4.10.2, 5.11.3",MULTIPLE,
604,Allnature s.r.o.,"Major nonconformity to requirement 4.12.9:
 Glass fragments were found on the closing machine of the peanut butter filling line in close proximity to open jars prior to sealing. The glass breakage occurred at approximately 10:30. Following the incident, partial cleaning was carried out by production personnel.
 After this partial cleaning, production was resumed. At the time of the auditor’s observation at 11:15, the line was in operation and open jars were present on the line. No glass fragment",4.12.9,OK,
605,Omilco Export (Pvt) Ltd,"KO against 5.11.3:
 Corrective actions taken to address the deviations identified during the last IFS audit have not been adequately implemented.
 Recurrences were noted relevant to seven of the previous deviations during this audit (Unannounced audit). They are related to;
 1. Poor practices of apron (protective clothing) usage at wet section – clause 3.2.2
 2. Inadequate door controls - emergency exit door - wet section – clause 4.9.6.2
 3. Wall damages in processing sections – clause 4.9.2.2
","3.2.2, 4.13.4, 4.9.6.2, 4.21.2, 4.10.2, 5.11.3, 4.9.2.2",MULTIPLE,
606,Bio-Frost Westhof GmbH,"Requirement 1.2.1 – KO: 
 The company management did not ensure that employees in packaging and production were aware of their responsibilities with regard to food safety and product quality, as they did not adequately document the checks at the control points and were unable to fully explain how they were carried out (see 2.3.9.4).
 
 Requirement 5.11.3 – KO:
 Not all Corrective Actions were fulfilled in such a way as to prevent the recurrence of deviations and non-conformities. On 3 September ","4.8.2, 4.9.6.3, 1.2.1, 3.4.6, 5.2.1, 2.3.9.4, 5.5.1, 4.16.1, 5.6.2, 4.9.3.3, 5.11.3",MULTIPLE,
608,Fleischcenter Perleberg GmbH & Co. KG,closure and discontinuation of production,,MISSING,
609,Zakład Przetwórstwa Mięsnego KIERAKOWICZ Adam Kierakowicz .,Audit was cancelled based on company decision taken by 2nd day of the audit.,,MISSING,
610,BRF S.A.,"During the current IFS Food audit done on 19.- 22. January was detected a NC at Requirement 4.9.4.1 
 Ceiling with oxidation in the MDM room, chiller, and automatic deboning area. Presence of dripping from the ceiling onto the side structure of the conveyor belt transporting trays to the Ulma packaging machine, causing splashes on the belt. There were exposed products passing on the belt at the time the dripping and splashing were checked.",4.9.4.1,OK,
611,"GRAZICAR - COMÉRCIO E IND. CARNES, S.A","During the audit performed on 20th January 2026 to 22th January 2026, it was detected a Major non-conformity under the requirement 4.19.3.
 
 Major non-conformity 4.19.3.
 
 The company has not been able to demonstrate that the system implemented to ensure that allergen information is transmitted correctly and in accordance with legal requirements is effectively in place.
 
 - The allergen information in the allergen list D.68.00, updated 23/10/2025, is inadequate in some cases. The product ""Tor",4.19.3,OK,
614,Bakery & Food GmbH - Werk Berlin,"Site closed, contract terminated.",,MISSING,
615,SOCIETE FROMAGERE DE CHARCHIGNE *,"Durant the audit, a major non-conformity was raised on item 5.10.3 : 
 During the traceability test, the finished product result for fat/dry matter in a 200g MDD grated Emmental cheese was 44.76% (two counter-analyses gave results of 44.97% and 44.77%), which does not comply with the customer's specifications and regulations (minimum 45%). One other result below 45% was also found in January among 124 samples analysed (note that the average G/S is 45.63% for private label grated cheese in Januar",5.10.3,OK,
616,LESIEUR VITROLLES,"During the IFS Food audit, a KO was assigned to requirement 4.1.3: 
 The labeled nominal volume for the private label customer fondue oil is 1000 ml. The recipe for this product consists of a mix of oil and a bouquet of aromatic herbs weighing 4 g. The nominal volume indicated on the METTLER weighing tool specifies a compliant nominal volume for packaging line based on 985 ml of oil, by adding the 4 grams of herbs present in the bottle, converted to ml using the density coefficient specified by ",4.1.3,OK,
617,"Gelagri Ibérica, S.L.","In the IFS Food announced recertification audit performed on 09.02.2026 to 12.02.2026, 1 MAYOR Scoring non-conformity was identified on requirement 1.1.1:
 
 It was detected failure in food quality culture. During the second day for the audit tour in sweet potatoes selection area was verified that the product was selected by Sortex equipment and manual selection by two operators. The auditor visually verified that the product had dark spots. When the auditor asked about quality control in the la","1.1.1, 4.9.4.1, 5.11.3, 4.9.2.2",MULTIPLE,
618,Andriani S.P.A.,"On 5-February -2026 an IFS Integrity On-site check was carried out where KO Nonconformity was issued against the following IFS-Food v8 requirement: 
 3.2.2 (D)KO : Personal hygiene requirements must be understood and applied by all relevant staff, contractors and visitors.
 RINA decided to investigate the case and conducted an unannounced extra audit on site on 12/02/2026. 
 The CB has decided to temporally suspend the IFS certificate.",3.2.2,OK,
619,Partner in Pet Food NL BV,"As of today (07.02.2026) Certima BV withdraws the certificate number IFS-01360 of client Partner in Pet Food NL B.V. (COID: 10052). 
 Reason:
 During unannounced audit conducted 05/06.02.2026 auditor raised 2 Majors:
 Major on 4.9.4.1: 
 1) During the factory assessment condensation on the ceiling observed at raw materials storage area. All pallets with products were covered during the assessment. Topic was addressed by the company and a renovation plan by maintenance department is in place for ","4.9.4.1, 4.12.2",MULTIPLE,
620,CHAVEGRAND S.E.,"Following an epidemiological investigation, the health authorities (DDPP, DGAL/MUS) have established that the company is involved in cases of listeriosis in France and Europe (cluster 714).
 This resulted in recalls on June 13, 2025, and August 9, 2025, linked to the detection of Listeria monocytogenes in a pasteurized soft cheese.
 In accordance with the IFS Food standard, we suspend the certification with effect from August 22, 2025. Following an audit carried out on the premises on August 27,",,POTENTIAL_MISS,
621,Alysse Food SA,"4.1.3-D(KO)
 The finished product verified during the audit (traceability test) is: Sesame bagels 4x85g PL for customer A. Specifications signed on 15/11/2023. Internal recipe code: 6BG023.
 The recipe in the specifications and the list of ingredients in the packaging indicate a quantity of sesame seeds of 3%.
 A KO rating is assigned because there was not sufficient evidence to ensure that the 3% rate was systematically respected for this product:
 - there is no instruction on line indicating t","4.1.3, 2.3.9.2, 5.3.1, 2.1.1.3, 5.4.1, 4.14.5, 4.10.2, 5.11.3",MULTIPLE,
622,Wendland Spice & Food GmbH,"After the auditor identified a nonconformity in section 4.18.1, the company terminated the audit on the second day of the audit (February 12, 2026).
 
 NON-CONFORMITY (4.18.1)
 During the production of the item ‘Truffle Style Burger Sauce’, an internal malfunction occurred, caused by an employee error. This meant that the raw material ‘truffle granules’ could not be traced back to the batch in question. At the Wiesentheid site, raw materials are weighed according to the recipe and thus prepared ",4.18.1,OK,
623,MONTERO ALIMENTACION SL,"IFS KO non-conformity requirement 4.18.1
 Lots of the cartons (primary packaging which contain consumer information) are not recorded, for example: date 02-02-2026, number 10 production line, custard with biscuit, lot L-LM1303261004 (Reina brand). 
 Number 10 production line, custard with biscuit, 02-02-2026, lot L-LM1303261004: the registered lot of skimmed milk powder 1% is L-8796, but the real lot of that raw material printed in their container is L-8798.
 Number 10 production line, custard w","4.18.1, 4.13.1",MULTIPLE,
624,"Conservas Angel Ria, S.A. A06399P","A KO and a Major non-conformity were raised during the IFS Food audit on February 3-5, 2026.
 Description of the Major NC:
 Clause 4.12.2:
 “There were some areas that could cause a physical risk of contamination such as:
 - Continuous dripping of water from the ceilings over the line. along all the process.
 - Up to 3 engines seen over the belts, were dirty, without protection and not well maintained.
 - a walkway placed in the raw material processing area without protection on their sides, wit","4.12.1, 4.12.2",MULTIPLE,
625,Lavina Kft.,"During an Authority Inspection performed on site unannounced the 09/02/2026 were detected irregularities on food safety management that led to a suspension of certificate.
 
 The irregularities detected were related at:
 1. Products seized and withdrawn from the market
 2. Hygien deficiencies
 3. Documentation and traceability issues
 4. Incorrect handling of defective products
 5. Improper disposal and use of waste products
 6. Legal actions and obligations – case no. J/035/001/2026",,MISSING,
626,VIOLANTA SA,"Due to the extraordinary event of a major fire that occurred on Jan 26, 2026, which resulted in fatalities and an ongoing cease of production with uncertain time of return to production, a temporary suspension of the certification of the IFS certificates has to be implemented.",,MISSING,
627,Precocinados Naturales Riojanos S.A.,"During the recertification audit, the following non-compliance was detected in requirement 4.16.1.: 
 
 During the audit, it was found that the maintenance plan was not being properly implemented:
 -Temporary repairs were observed during the plant visit, with transparent tape and transparent tape bags used to cover electrical equipment. 
 -The ceilings in the potato storage and frying room had not been repaired after cleaning (they had small chips).
 - During the plant visit, it was observed tha",4.16.1,OK,
628,ST. NICOLAUS a.s.,"At the beginning of the second audit day, the company decided to not continue the audit due to the findings identified during the first day, lack of pest control (Major non-conformity), improper storage of raw materials and packaging materials, and failure to follow personal hygiene requirements.
 • Major non-conformity 4.13.1:
 Several findings have been identified during audit related to pest control:
 - Risk based control measures have not been provided during audit
 - Frequency of internal m",4.13.1,OK,
630,Palmieri S.R.L.,"During the IFS Integrity on-site check, conducted on February 3, 2026, by an auditor appointed by IFS, the following were found:
 - 1 KO requirement 3: 3.2.2 (During the IOC, cigarette butts were found inside the facility on the mezzanine area used for packaging materials and refrigeration equipment. The issue was linked to external maintenance, without proper visitor registration or documented post-maintenance cleaning.
 - 1 KO requirement 4.18.1 (During the IOC, the traceability system was fou","4.8.2, 3.2.2, 4.18.1",MULTIPLE,
632,ESTUCHADOS LARHAZ S.L.,"During the audit performed on 3rd February 2026 to 4th February 2026 , it was detected a Major non-conformity under the requirement 4.3.2.
 
 Major non-conformity 4.3.2.
 During the plant visit on February 3, 2026, it was verified that the paper bag used for the ""Cafento-bar Oña"" brand, batch 60340304, does not meet the weight declared on the packaging.
 The packaging label (paper bag) indicates a weight of 8g. However, a review of the batch's statistical weight control shows an average weight o",4.3.2,OK,
633,Olense Vleeswaren Industrie (OVI) nv,"1.2.1 - KO: During the audit rounds of production units A and B, it was established that the company has insufficient knowledge and awareness of food safety culture.
 Numerous sources of plastic cross-contamination were found. During the monthly inspection of the glass and plexiglass rounds, very little of this was found, with the exception of the damaged plexiglass covers. The employees involved did not submit any report forms for this either.",1.2.1,OK,
634,La Rosina SRL,Failure to pay for audit activities carried out by Certiquality srl.,,MISSING,
635,"EMBUTIDOS JUNTAMAR, S.L.","In the IFS Food UNANNOUNCED recertification audit performed on 28.01.2026 – 30.01.2026, 1 Major Scoring non-conformity was identified on requirement 4.3.2:
 
 With respect to the product ‘compango’, it cannot be considered safe without cooking, given that salted bacon is used in the packaging, which indicates in its technical data sheet that it requires cooking before consumption, but the labelling lacks explicit instructions for use (‘cook thoroughly before consumption’).
  
 The technical data",4.3.2,OK,
636,Adriaticon d.o.o.,"During the last audit by Certification Body 1 Knock Out raised in paragraph 5.11.3: Several repeated deviations were identified during the audit, demonstrating that the corrective actions defined and implemented after previous audits were not effective in preventing recurrence.
 -In the olive processing area, visible dirt deposits, which had started to flake, were observed in the upper left corner of the wall, at the same location as identified during the previous audit, related to requirement 4","3.4.2, 4.9.4.1, 5.11.3, 4.7.1",MULTIPLE,
638,Conservas de Autor S.A,"A Major non-conformity was raised during the IFS Food audit on February 4-6, 2026.
 Description of the Major NC:
 Clause 4.13.1:
 “A large flock of sparrows were seen roosting in pallets stored outside the factory and four sparrows were seen inside the factory by the pulse hydration area on 04/02/2026. There is open product in this area and faeces seen on sealed pallets of can lids.""",4.13.1,OK,
639,VALIPILE d.o.o.,"During the last audit by Certification Body 1 KO and 1 Major raised:
 Paragraph 2.3.9.1 KO --> During the on-site tour of the packaging area, it was identified that the CCP monitoring was not implemented. For the product chicken breast fillet, Lot 26016, BBD 18.02.2026, no CCP monitoring records were available on site and could not be identified during the audit. During the check, the metal detector, defined as a CCP, did not react to the test pieces Fe 3.0 mm, non-Fe 3.0 mm and SS 4.0 mm. It wa",4.12.2,OK,
641,Marmo nv,"During the audit completed on site from 09-02-2026 to 11-02-2026 the following Major NC was identified at requirement 4.3.2:
 The finished product (art. nr. 5357001001099) consists of a cooked egg embedded in a pork/veal meatloaf with tomato sauce and is sold as a prepacked, labelled consumer unit. The label declares “free‑range eggs”. However, supplier documentation, internal recipes, and traceability records for batch 05227210010 demonstrate that barn eggs were used as an ingredient.
 This con",4.3.2,OK,
642,Heinrich Abelmann GmbH,"4.8.2 Major:
 The delicatessen department produces its own mayonnaise for delicatessen salads. Two machines are used for this purpose. Currently, mayonnaise is only produced on the small machine. The large machine has not been used for around six months. 
 During an inspection of the water pipe/stainless steel pipe on the small machine, black deposits/residue were found in the pipe. The inside of the pipe is not sufficiently clean. This is unacceptable, especially for a sensitive product such as","4.8.2, 4.18.1, 4.10.1",MULTIPLE,
644,House of Denmark A/S,"During the audit completed on site on 18-19-20/02/2026 the following Major NCs were identified:
 
 4.12.8: No specific process (turn/blow/rinse) implemented to ensure that glass fragments are excluded during filling process and no further mitigation are in place to eliminate the risk of contamination. In addition it was observed during audit that a metal plate used for positioning of glass where ""hitting"" on top of the open glasses and could cause a contamination risk.
 5.11.4 In several cases i","5.11.4, 4.12.8",MULTIPLE,
646,SNV SAVIGNY SUR BRAYE SA,"During the IFS Food audit carried out from February 10 to 13, 2026, a major non-conformity was issued against requirement 5.5.1: Failures to comply with legal obligations to control the weight of prepackaged goods: 
 
 1) A range of turkey cut products sold under a private label in the LS department bears the metrological “e” mark next to the net weight. The company does not apply all the legal requirements associated with this marking in order to demonstrate weight control throughout the packag",5.5.1,OK,
648,LATTERIE RAGUSANE S.R.L,"On 16-February -2026 an IFS Integrity On-site check was carried out where some critical issues were identified against the following IFS-Food v8 requirements: 
 2.3.9.1 (D)KO : During the IOC, the CCP ""Metal Detector"" monitoring of the 510g Mozzarella bag (3 x 90g) carried out at 10:50 a.m. was failed.
 4.2.1.1 Major: Given that the technical specifications for pasta filata cheese made with citric acid does not include the use of calcium chloride (E 509) and that this substance is not listed in ","4.2.1.1, 4.8.3",MULTIPLE,
649,Piekarnictwo-Cukiernictwo Wielgomłyny Przemysław Nowak,Company has cancelled the agreement with CB.,,MISSING,
650,Noire (Via Giberte) S.r.l.,Certificate revocation following company notification and preliminary technical review; reason: cessation of production site activity,,MISSING,
651,NUTCOR NUTRIENTS S.L.U.,"Repeated non-compliance with the requirements necessary to maintain the food safety management system and the IFS Food standard, due to the fact that the storage conditions of raw materials outside the facilities are not adequate. Furthermore, it has been observed on numerous occasions that the entrance gates to the factory remain open, which poses a high risk of contamination, pest intrusion, and the emission of odors. This situation is particularly aggravated when product is kept at ambient te",,POTENTIAL_MISS,
652,Avibom Avicola S.A.,"The following Non-conformity has been raised during the IFS Food v8 audit from 09/02/2026 to 11/02/2026 at Avibom Avicola S.A - COID 59200.
 
 Non-conformity type: Major non-conformity
 IFS requirement: 4.17.4
 NC description: 
 Failure to comply with legal requirement EU Reg 853/2004. 
 During the audit, several knife sterilizers in multiple areas were verified and none were reaching the expected sterilization conditions, including:
 - Stunning area: 46.8°C 
 - Evisceration room: 50.8°C 
 - Ble",4.17.4,OK,
653,"TA-TUNG PLATOS PRECOCINADOS, S.L.","Major Non Conformity detected against Req. 4.12.2 during the integrity on site check performed on 17-02-2026:
 Some gaps were observed that could pose a risk of product contamination:
 - Residue from silicone in the peeling equipment (carrots, potatoes) that is in direct contact with the product (partially detached).
 - Growth of mould was observed on the cooling equipment located just above the Dim Sum filling preparation equipment",4.12.2,OK,
654,PRO OVO Eiprodukte GmbH,"5.11.3 (KO no 10 - D rating): No corrective measures, deadlines, or responsibilities have been set for the deviations identified in the internal audit (18./19.09., 15./16.10.2025).",5.11.3,OK,
655,ZUBELZU PIPARRAK S.L.,"During the recertification audit, the following major non-conformity was detected in requirement 4.3.2:
 During the review of the technical data sheet for Gilda de Ibarra with cheese, 12 units, brand Zxxx, 715 g net weight / 240 g drained weight, with expiration date 10/08/2025, rev. 8, it was detected that the list of ingredients on the label of Gilda de Ibarra with cheese, 12 units, brand Zxxxx, does not correspond to the current technical data sheet. The label only mentions “vinegar,” while t",4.3.2,OK,
658,DESIR NATURE SAS .,"During the IFS Food v.8 audit performed from 19th to 20th February, a Major Non Conformity was detected in the requirement 5.4.1.
 
 Description: The Scale no. 25 (serial no. 0101145004 - 1g , 6kg capacity - implemented on 22/11/24) used for weight control of 400g bags packed on the flowpack line, has a green label valid until November 2025. Therefore, bags packed on the flowpack line are no longer subject to weight control on scales under legal metrology standards since November 2025, which is ",5.4.1,OK,
661,CINQUINA INTERNATIONAL S.R.L.,Oustandings payments,,MISSING,
662,DAMM PRODUTOS ALIMENTÍCIOS LTDA,"During the IFS Food audit conducted between January 28th and 30th, 2026, the following non-conformities were identified:
 
 Req. 2.3.9.1 (Deviation D in KO): During the evaluation carried out on January 29th, 2026, in the metal detection step identified as a CCP, it was observed that the product coho salmon fillet with skin, frozen, vacuum-packed, lot 084872, was being passed through the metal detector at around 9:30 am.
 
 Upon checking the CCP monitoring records (PAC PLAN 20.B1 and PAC PLAN 20","5.3.2, 4.14.2",MULTIPLE,
663,HALAL GUDA DONER KEBAP d.o.o.,"during current Unannounced audit IFS Food (planned 03.-05.02.2026, cancelled during second day on request of the client) – auditor Stanislav Bradeško; witness auditor Anže Brejc , detected:
 
 KO scoring on the requirement 2.3.9.1:
 KO N° 2: Specific monitoring procedures in terms of method, frequency of measurement or observation and recording of results, shall be documented, implemented and maintained for each CCP, to detect any loss of control at that CCP. Each defined CCP shall be under cont",2.3.9.3,OK,
666,"JAMONES DE SERON CORTIJO DE CANATA, S.L.","A KO was raised during the IFS Integrity On-site Check on February 10, 2026.
 Description of the KO:
 Clause 4.18.1:
 “During the IOC, a traceability test was carried out with the production of 26 SEP 2025. Batch: 269500. On that day, with this batch, 95 trays of sliced ham of 85 g packed under MAP and 48 packs of 85 g of sliced ham vacuum packed were produced.
 Records for both raw materials and the process were requested, and it was verified that:
 • There is no weight control for either of th",4.18.1,OK,
667,HPP Belgium B.V.,"During the current IFS Food 8 audit the following Non-conformity was raised at requirement 5.5.2: On the second day of the audit, during the assessment of the bottling lines, the following observations were made. Bottling line L1, dedicated to small containers (‘shots’, 125 ml and 250 ml), was bottling orange juice in 250 ml bottles under the brand name of an Austrian customer. It was noted that the label for this product bore the metrological marking ‘e’, unlike the other products and labels ex",5.5.2,OK,
668,Caseificio Silvio Boi s.r.l.,"On 29-January-2026 an IFS Integrity On-site check was carried out where 8 non-conformities were identified against the following IFS-Food v8 requirements: 
 2.3.9.1 (D)KO : Given that the company does not operate every day, the temperature traces relating to the monitoring of CCP1 ""pasteurization"" are not always available 
 4.2.1.5 Major: The production process for lactose-free products is not completed and not fully documented.
 4.3.2 Major: Some “lactose free” cheeses labels are not in complia","4.8.2, 4.3.2, 4.2.1.5, 4.18.1, 4.17.2, 4.14.5, 5.11.3",MULTIPLE,
669,Finest Meat Sp. z o.o.,Certificate is held due to the lack of payment,,MISSING,
671,HIGH QUALITY FOOD S.p.A S.p.A.,"Major Non-Conformity requirement 4.12.4 
 ""THE METAL DETECTOR CONTROLLING THE CCP FOREIGN BODIES IS NOT VERIFIED (E.G. VERIFICATION OF FUNCTIONALITY BY A COMPETENT EXTERNAL COMPANY) IN THE LAST THREE YEARS""",4.12.4,OK,
674,BIO PASTIS S.L.,"During the recertification audit, the following major non-conformity was detected in requirement 4.3.2.:
 
 The labeling and technical data sheet of the final product for the following products are reviewed:
 **R.PROD.FP-00. 11/06/2025. Code: 02008001. CHOCOLATE FLAVORED PANCAKES. OK
 **R.PROD.FP-00. 06/06/2025. Code: 02002047. DOUBLE CHOCOLATE MOIST CAKE 5X5.
 **R.PROD.FP-00. 02/12/2024. Vasca cheesecake. 2,100 kg
 **R.PROD.FP-00. 08/12/2025. Code: 02205003. PISTACHIO AND WHITE CHOCOLATE CAKE. ",4.3.2,OK,
675,Jokioisten Leipä Oy .,"main bakery in Jokioinen, Finland, was completely destroyed in a fire. There will be no production at this location until further notice. Due to this situation, and because the current circumstances cannot be assessed in accordance with IFS requirements, the IFS certificate will be temporarily suspended.
 Once it becomes foreseeable when production will resume, there will be a special visit, after which the certificate can be reinstated.",,POTENTIAL_MISS,
